State	  Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000
Ohio	139712.00	3806.00	27.24	138500.00	1978.00	14.28	140975.00	2089.00	14.82	144230.00	2092.00	14.50	146943.00	1972.00	13.42	146885.00	1823.00	12.41	145520.00	1819.00	12.50	148243.00	1674.00	11.29	147252.00	1516.00	10.30	148864.00	1494.00	10.04	153782.00	1339.00	8.71	155718.00	1303.00	8.37	153515.00	1312.00	8.55	154623.00	1349.00	8.72	152837.00	1400.00	9.16	155836.00	1392.00	8.93	158238.00	1150.00	7.27	161419.00	872.00	5.40
Oklahoma	53393.00	1303.00	24.40	52362.00	691.00	13.20	52841.00	646.00	12.23	53707.00	574.00	10.69	54112.00	571.00	10.55	52682.00	533.00	10.12	52661.00	473.00	8.98	52481.00	411.00	7.83	51734.00	405.00	7.83	51868.00	366.00	7.06	51460.00	318.00	6.18	52564.00	261.00	4.97	51860.00	277.00	5.34	51438.00	257.00	5.00	49785.00	235.00	4.72	49435.00	215.00	4.35	50268.00	164.00	3.26	51508.00	115.00	2.23
Oregon																																																						
Pennsylvania	143032.00	121.00	0.85	142027.00	113.00	0.80	143210.00	118.00	0.82	147389.00	152.00	1.03	148228.00	165.00	1.11	149161.00	151.00	1.01	148455.00	158.00	1.06	150582.00	152.00	1.01	150155.00	161.00	1.07	149904.00	156.00	1.04	154144.00	175.00	1.14	158386.00	157.00	0.99	156088.00	178.00	1.14	157433.00	223.00	1.42	158831.00	252.00	1.59	162923.00	278.00	1.71	168076.00	235.00	1.40	173135.00	174.00	1.00
Puerto Rico	41656.00	278.00	6.67	43990.00	584.00	13.28	43377.00	717.00	16.53	43481.00	671.00	15.43	44723.00	592.00	13.24	45692.00	599.00	13.11	46200.00	614.00	13.29	45605.00	574.00	12.59	46009.00	541.00	11.76	47532.00	519.00	10.92	51131.00	558.00	10.91	53122.00	554.00	10.43	51201.00	545.00	10.64	52961.00	550.00	10.39	53883.00	641.00	11.90	54471.00	634.00	11.64	55484.00	552.00	9.95	55976.00	410.00	7.32
Rhode Island	11009.00	458.00	41.60	10931.00	223.00	20.40	10999.00	262.00	23.82	11639.00	235.00	20.19	11466.00	220.00	19.19	12030.00	179.00	14.88	11860.00	174.00	14.67	12161.00	174.00	14.31	11991.00	154.00	12.84	12078.00	121.00	10.02	12073.00	142.00	11.76	12464.00	133.00	10.67	12565.00	132.00	10.51	12694.00	122.00	9.61	12882.00	109.00	8.46	13008.00	113.00	8.69	13547.00	101.00	7.46	14139.00	67.00	4.74
South Carolina	59489.00	1401.00	23.55	59317.00	830.00	13.99	60123.00	843.00	14.02	61318.00	765.00	12.48	62423.00	782.00	12.53	60175.00	753.00	12.51	59540.00	683.00	11.47	59069.00	642.00	10.87	58756.00	580.00	9.87	58987.00	542.00	9.19	60629.00	521.00	8.59	62211.00	502.00	8.07	59801.00	441.00	7.37	59574.00	455.00	7.64	58795.00	437.00	7.43	58620.00	412.00	7.03	59959.00	366.00	6.10	61769.00	141.00	2.28
South Dakota	11830.00	187.00	15.81	11652.00	127.00	10.90	11790.00	118.00	10.01	12142.00	116.00	9.55	12177.00	97.00	7.97	11829.00	98.00	8.28	11594.00	96.00	8.28	11407.00	73.00	6.40	10947.00	72.00	6.58	10612.00	66.00	6.22	10803.00	47.00	4.35	11053.00	50.00	4.52	10864.00	45.00	4.14	10589.00	42.00	3.97	10787.00	37.00	3.43	10864.00	30.00	2.76	10922.00	25.00	2.29	11294.00	18.00	1.59
Tennessee	79558.00	1486.00	18.68	79185.00	541.00	6.83	79996.00	525.00	6.56	83373.00	572.00	6.86	82905.00	563.00	6.79	82789.00	532.00	6.43	81649.00	459.00	5.62	82460.00	433.00	5.25	81939.00	427.00	5.21	82401.00	394.00	4.78	84096.00	437.00	5.20	86092.00	392.00	4.55	84915.00	487.00	5.74	83641.00	432.00	5.16	82701.00	400.00	4.84	83514.00	373.00	4.47	84655.00	375.00	4.43	86267.00	265.00	3.07
Texas	397633.00	9406.00	23.65	387482.00	5436.00	14.03	384970.00	5226.00	13.58	394500.00	5019.00	12.72	395023.00	4740.00	12.00	393733.00	4273.00	10.85	394237.00	3825.00	9.70	392894.00	3437.00	8.75	389171.00	3187.00	8.19	385065.00	2917.00	7.58	390975.00	2696.00	6.90	393009.00	2409.00	6.13	381467.00	2283.00	5.98	377602.00	2129.00	5.64	375794.00	2029.00	5.40	372651.00	1862.00	5.00	374731.00	1590.00	4.24	379801.00	731.00	1.92
Utah	51126.00	818.00	16.00	52333.00	741.00	14.16	52647.00	743.00	14.11	53152.00	715.00	13.45	52863.00	699.00	13.22	51915.00	628.00	12.10	51699.00	642.00	12.42	50799.00	588.00	11.58	50571.00	524.00	10.36	48370.00	543.00	11.23	48573.00	540.00	11.12	48606.00	492.00	10.12	46651.00	474.00	10.16	45562.00	604.00	13.26	44907.00	568.00	12.65	43423.00	486.00	11.19	43916.00	446.00	10.16	43196.00	317.00	7.34
Vermont	5935.00	33.00	5.56	5940.00	40.00	6.73	6163.00	25.00	4.06	6455.00	42.00	6.51	6678.00	41.00	6.14	6530.00	28.00	4.29	6726.00	24.00	3.57	6858.00	32.00	4.67	7036.00	23.00	3.27	6826.00	36.00	5.27	6988.00	34.00	4.87	7392.00	26.00	3.52	7409.00	35.00	4.72	7562.00	35.00	4.63	7580.00	44.00	5.80	7511.00	60.00	7.99	8208.00	37.00	4.51	8221.00	34.00	4.14
Virginia	101446.00	611.00	6.02	100875.00	407.00	4.03	99970.00	456.00	4.56	104213.00	435.00	4.17	103683.00	398.00	3.84	103652.00	343.00	3.31	103066.00	330.00	3.20	103409.00	315.00	3.05	102344.00	298.00	2.91	101594.00	287.00	2.82	103483.00	305.00	2.95	104577.00	269.00	2.57	102529.00	256.00	2.50	102072.00	274.00	2.68	102232.00	247.00	2.42	101843.00	251.00	2.46	105488.00	223.00	2.11	107070.00	175.00	1.63
Washington	87638.00	687.00	7.84	88182.00	512.00	5.81	88275.00	514.00	5.82	89963.00	501.00	5.57	89547.00	409.00	4.57	87433.00	419.00	4.79	87295.00	400.00	4.58	86231.00	387.00	4.49	85715.00	359.00	4.19	84947.00	317.00	3.73	87194.00	306.00	3.51	88657.00	254.00	2.86	87843.00	291.00	3.31	87839.00	300.00	3.42	87448.00	252.00	2.88	87392.00	255.00	2.92	89034.00	218.00	2.45	91124.00	148.00	1.62
West Virginia	20571.00	521.00	25.33	20143.00	307.00	15.24	20322.00	301.00	14.81	21348.00	281.00	13.16	21072.00	285.00	13.53	20930.00	245.00	11.71	20920.00	240.00	11.47	21065.00	224.00	10.63	21195.00	202.00	9.53	21189.00	182.00	8.59	21363.00	186.00	8.71	22301.00	183.00	8.21	21565.00	148.00	6.86	21722.00	137.00	6.31	21765.00	148.00	6.80	22179.00	157.00	7.08	22515.00	109.00	4.84	22629.00	59.00	2.61
Wisconsin	69353.00	447.00	6.45	69701.00	326.00	4.68	69898.00	336.00	4.81	72280.00	315.00	4.36	73350.00	312.00	4.25	72959.00	334.00	4.58	72911.00	295.00	4.05	74014.00	275.00	3.72	72929.00	245.00	3.36	73312.00	248.00	3.38	74369.00	214.00	2.88	76084.00	204.00	2.68	74684.00	215.00	2.88	74693.00	212.00	2.84	74907.00	227.00	3.03	75043.00	221.00	2.94	76782.00	171.00	2.23	78939.00	124.00	1.57
Wyoming	7548.00	82.00	10.86	7718.00	55.00	7.13	7929.00	50.00	6.31	8158.00	59.00	7.23	8196.00	48.00	5.86	7888.00	50.00	6.34	7673.00	31.00	4.04	7545.00	41.00	5.43	7506.00	37.00	4.93	7183.00	48.00	6.68	7153.00	35.00	4.89	7354.00	41.00	5.58	7151.00	30.00	4.20	7253.00	22.00	3.03	7207.00	21.00	2.91	6951.00	15.00	2.16	7065.00	20.00	2.83	7459.00	15.00	2.01
